year,cccma_cgcm3_1,csiro_mk3_0,gfdl_cm2_1,miroc3_2_medres,mpi_echam5,ncar_ccsm3_0,ukmo_hadcm3
1870,12.64,0.0,13.147,13.284,14.085,13.175,13.395
1871,12.659,12.700999999999999,13.107000000000001,13.252,13.969000000000001,13.165999999999999,13.534
1872,12.629000000000001,12.719000000000001,13.109000000000002,13.36,13.967,13.175,13.561
1873,12.622,12.610999999999999,13.114,13.392999999999999,13.937000000000001,13.165,13.623
1874,12.642999999999999,12.652000000000001,13.151,13.383,13.860999999999999,13.145999999999999,13.696
1875,12.616,12.623,13.094000000000001,13.397,13.931,13.134,13.644
1876,12.597000000000001,12.654000000000002,12.93,13.335,14.033,13.129000000000001,13.505
1877,12.619000000000002,12.603,12.86,13.328,14.092,13.107000000000001,13.533
1878,12.62,12.582,12.975999999999999,13.394,14.118,13.088,13.595999999999998
1879,12.624,12.647,13.085,13.372,14.049000000000001,13.114,13.353
1880,12.67,12.661,13.08,13.312999999999999,14.07,13.083,13.453
1881,12.675,12.55,13.022,13.364,14.124,13.074000000000002,13.532
1882,12.639000000000001,12.572000000000001,12.946,13.332,14.043,13.08,13.411
1883,12.63,12.592,13.029000000000002,13.304,13.993,12.992,13.568
1884,12.602,12.540999999999999,12.568,13.06,14.008,12.549000000000001,13.669
1885,12.664000000000001,12.522,12.398,13.08,14.025,12.692,13.682
1886,12.624,12.485999999999999,12.605,13.091,14.091,12.837,13.559000000000001
1887,12.677,12.517999999999999,12.649000000000001,13.114,14.107999999999999,12.959000000000001,13.498
1888,12.747,12.534,12.679,13.135,14.220999999999998,12.98,13.594000000000001
1889,12.684000000000001,12.485999999999999,12.774000000000001,13.11,13.984000000000002,12.999,13.677999999999999
1890,12.681,12.552999999999999,12.706,13.035,13.937000000000001,12.929,13.457
1891,12.674000000000001,12.532,12.633,13.073,14.062000000000001,12.829,13.440999999999999
1892,12.697000000000001,12.49,12.700999999999999,13.100999999999999,14.046,12.917,13.630999999999998
1893,12.696,12.548,12.777000000000001,13.192,14.107999999999999,13.012,13.764000000000001
1894,12.696,12.575999999999999,12.875,13.151,14.242,13.035,13.602
1895,12.745,12.458,13.009,13.273,14.102,13.091,13.532
1896,12.694,12.423,12.945,13.228,13.993,13.047,13.583
1897,12.705,12.535,12.993,13.234000000000002,14.148,13.06,13.628
1898,12.681,12.644,13.107000000000001,13.173,14.159,13.067,13.554
1899,12.64,12.585999999999999,13.082,13.232999999999999,14.068,13.067,13.549000000000001
1900,12.697000000000001,12.519,12.965,13.203,14.039000000000001,13.134,13.645999999999999
1901,12.687000000000001,12.654000000000002,13.08,13.213,14.087,13.16,13.549000000000001
1902,12.748,12.616,13.152000000000001,13.245999999999999,14.020999999999999,13.059000000000001,13.472999999999999
1903,12.728,12.594000000000001,12.950999999999999,13.206,14.037,12.751,13.633
1904,12.757,12.554,12.879000000000001,13.152999999999999,14.231,12.735999999999999,13.667
1905,12.784,12.585999999999999,12.919,13.09,14.261,12.882,13.4
1906,12.742,12.574000000000002,13.055,13.106,13.911,12.963,13.498
1907,12.692,12.562999999999999,13.255999999999998,13.117,13.883,12.991,13.648
1908,12.674000000000001,12.58,13.163,13.212,14.196,12.940999999999999,13.507
1909,12.654000000000002,12.532,12.981,13.264000000000001,14.224,12.981,13.443
1910,12.703,12.617,12.915,13.265,14.039000000000001,12.985,13.503
1911,12.77,12.583,13.119000000000002,13.270999999999999,14.039000000000001,13.043,13.664000000000001
1912,12.79,12.533,13.124,13.299000000000001,14.109000000000002,12.987,13.627
1913,12.769,12.567,13.06,13.307,13.979000000000001,12.978,13.389000000000001
1914,12.774000000000001,12.540999999999999,12.934000000000001,13.238,13.974,13.04,13.377
1915,12.73,12.537,13.09,13.342,14.094000000000001,13.085,13.379000000000001
1916,12.762,12.444,13.163,13.332,14.204,13.103,13.522
1917,12.767999999999999,12.449000000000002,13.269,13.312000000000001,14.014000000000001,13.114,13.665999999999999
1918,12.8,12.475,13.2,13.366,14.046,13.106,13.703
1919,12.797,12.443,13.142999999999999,13.376,14.065999999999999,13.109000000000002,13.773
